Customer ID,Total Portfolio Value
CID000001,6251.189895629883
CID000002,33399.47982788086
CID000003,34298.43963623047
CID000004,57449.84002685547
CID000005,72257.94947814941
CID000006,65738.79092407227
CID000007,73860.41806030273
CID000008,52534.020736694336
CID000009,36411.27862548828
CID000010,1844.8499145507812
CID000011,27323.129776000977
CID000012,50763.178955078125
CID000013,28965.0701751709
CID000014,48372.359436035156
CID000015,46567.79895019531
CID000016,57764.67791748047
CID000017,21611.098999023438
CID000018,69905.96951293945
CID000019,10571.880065917969
CID000020,54395.869232177734
CID000021,10541.99951171875
CID000022,67139.04899597168
CID000023,18957.29946899414
CID000024,19475.37030029297
CID000025,32327.339767456055
CID000026,19064.640380859375
CID000027,55789.72023010254
CID000028,34605.6891784668
CID000029,8385.969696044922
CID000030,93758.1277923584
CID000031,3276.240020751953
CID000032,76595.26722717285
CID000033,89787.87963867188
CID000034,71746.54971313477
CID000035,5639.959899902344
CID000036,23604.819732666016
CID000037,66058.73776245117
CID000038,60285.9582824707
CID000039,57985.4201965332
CID000040,5229.599853515625
CID000041,118945.80783081055
CID000042,25431.900299072266
CID000043,64904.958251953125
CID000044,66171.4585571289
CID000045,24220.109756469727
CID000046,62250.17819213867
CID000047,36991.38920593262
CID000048,32874.179443359375
CID000049,45912.660217285156
CID000050,36502.660095214844
CID000051,41350.409118652344
CID000052,48306.17967224121
CID000053,7870.830093383789
CID000054,66587.52954101562
CID000055,92220.919921875
CID000056,378.79998779296875
CID000057,32223.459045410156
CID000058,25095.59945678711
CID000059,82521.40802001953
CID000060,64386.95861816406
CID000061,45215.268981933594
CID000062,93431.2274017334
CID000063,96762.67710876465
CID000064,115926.73681640625
CID000065,2006.290023803711
CID000066,57383.478759765625
CID000067,61322.889419555664
CID000068,36911.359375
CID000069,63602.3493347168
CID000070,33552.590270996094
CID000071,34762.050354003906
CID000072,11512.099884033203
CID000073,53930.10885620117
CID000074,83016.41845703125
CID000075,35192.978942871094
CID000076,35203.89953613281
CID000077,21856.500549316406
CID000078,8333.820098876953
CID000079,28207.359161376953
CID000080,51274.79797363281
CID000081,58678.95861816406
CID000082,34680.689712524414
CID000083,21087.679931640625
CID000084,50771.57931518555
CID000085,66309.98016357422
CID000086,71000.04776000977
CID000087,30357.12873840332
CID000088,50753.119140625
CID000089,14568.620025634766
CID000090,3703.9200439453125
CID000091,1096.6999816894531
CID000092,3486.39990234375
CID000093,125440.85664367676
CID000094,43619.60940551758
CID000095,37608.338317871094
CID000096,33147.66957092285
CID000097,3096.2398681640625
CID000098,10536.330017089844
CID000099,21115.349182128906
CID000100,43575.48043823242
